line_internal_id,route_short_name,route_long_name,route_color,has_alerts
109149,01,UNION,0000ff,True
109148,02,MADISON,ff0000,False
109147,04,WALKER,4080ff,True
109146,07,SHELBY & HOLMES,ff0000,True
109145,08,CHELSEA & HIGHLAND,0000ff,True
109156,11,FRAYSER,ff0000,False
109155,12,MALLORY,4080ff,True
109158,13,LAUDERDALE,0080ff,True
109135,16,SOUTHEAST CIRCULATOR,0080ff,False
109154,19,VOLLINTINE,ff0000,False
109153,28,AIRPORT,0080ff,False
109152,30,BROOKS,4080ff,False
109143,32,HOLLYWOOD & HAWKINS MILL,ff0000,False
109134,34,CENTRAL & WALNUT GROVE,4080ff,True
109142,36,LAMAR,ff0000,True
109141,37,PERKINS,4080ff,False
109140,39,SOUTH THIRD,ff0000,True
109144,40,STAGE & LAUDERDALE,4080ff,True
109139,42,CROSSTOWN,0000ff,True
109138,50,POPLAR,0000ff,True
109137,52,JACKSON,0000ff,False
109136,53,SUMMER,ff0000,True
109151,57,PARK,ff0000,True
109150,69,WINCHESTER,ff0000,False
109157,100,TROLLEY MAIN LINE,008000,False
